group_id,question_id,consenso
62,9,10
62,10,0
62,13,-1
62,11,8
76,11,-1
76,13,5
76,9,5
76,10,6
77,12,6
77,13,5
77,14,0
77,9,8
78,13,5
78,10,0
78,12,3
78,14,0
79,10,5
79,11,8
79,12,-1
79,13,6
81,9,10
81,13,-1
81,14,0
81,11,10
82,12,-1
82,13,8
82,9,6
82,11,10
83,12,-1
83,11,5
83,9,-1
83,13,8
84,9,8
84,11,9
84,13,5
84,10,7
85,11,7
85,14,0
85,13,8
85,9,-1
92,11,-1
92,9,1
92,13,5
92,14,-1
93,11,-1
93,9,0
93,12,0
93,13,0
94,14,-1
94,9,7
94,11,8
94,12,-1
96,11,-1
96,14,0
96,12,0
96,9,-1
108,9,7
108,14,0
108,10,-1
108,13,10
109,14,0
109,11,9
109,9,5
109,13,8
110,9,-1
110,12,-1
110,13,2
110,11,7
111,11,8
111,13,-1
111,9,8
111,12,5
116,14,0
116,13,7
116,10,2
116,9,1
117,10,7
117,12,1
117,9,-1
117,11,-1
121,14,3
121,12,6
121,11,3
121,13,6
122,14,2
122,10,3
122,9,7
122,11,7
123,13,8
123,10,4
123,9,3
123,12,5
124,10,-1
124,13,-1
124,9,10
124,11,7
128,9,-1
128,12,5
128,14,1
128,13,5
131,12,-1
131,14,2
131,10,7
131,13,-1
133,10,9
133,14,3
133,9,9
133,13,7
139,10,-1
139,14,3
139,12,-1
139,9,10
140,11,10
140,14,0
140,12,-1
140,9,-1
141,14,0
141,11,5
141,9,7
141,12,4
151,11,-1
151,10,7
151,14,-1
151,13,-1
152,10,1
152,9,-1
152,12,10
152,14,-1
153,9,5
153,14,0
153,13,7
153,12,-1
154,11,-1
154,13,-1
154,9,-1
154,14,0
155,12,0
155,9,-1
155,13,-1
155,14,0
159,14,0
159,9,-1
159,11,7
159,12,-1
160,12,-1
160,13,-1
160,11,5
160,14,0
171,11,10
171,9,7
171,13,-1
171,10,-1
172,13,8
172,12,0
172,11,5
172,9,5
173,10,5
173,11,5
173,9,-1
173,14,3
174,12,-1
174,11,-1
174,13,7
174,14,0
175,14,-1
175,13,8
175,12,-1
175,10,-1
176,13,6
176,14,0
176,11,8
176,10,-1
177,9,5
177,12,-1
177,11,10
177,14,3
178,9,2
178,12,5
178,13,-1
178,14,0
179,10,7
179,11,3
179,12,0
179,13,9
180,11,8
180,12,1
180,13,-1
180,10,-1
181,12,0
181,14,-1
181,13,-1
181,11,-1
186,12,-1
186,13,0
186,9,-1
186,11,10
187,9,-1
187,12,-1
187,10,-1
187,14,0
188,9,7
188,14,0
188,11,5
188,12,0
189,10,5
189,12,-1
189,14,1
189,13,7
191,12,0
191,14,4
191,9,1
191,11,10
192,14,1
192,11,6
192,13,8
192,12,5
193,12,0
193,11,10
193,14,0
193,13,-1
201,13,7
201,12,0
201,10,3
201,11,-1
202,10,9
202,9,-1
202,14,-1
202,13,6
203,14,0
203,13,3
203,10,6
203,12,-1
212,14,1
212,13,8
212,10,8
212,11,9
213,11,10
213,13,7
213,14,3
213,9,5
214,13,10
214,14,3
214,11,9
214,9,8
216,12,0
216,10,7
216,11,5
216,14,0
217,14,3
217,10,10
217,9,9
217,13,-1
218,12,6
218,14,-1
218,9,-1
218,13,5
219,12,8
219,14,0
219,13,-1
219,11,-1
220,11,9
220,12,0
220,13,5
220,10,8
224,11,-1
224,13,-1
224,9,5
224,10,3
230,14,-1
230,11,10
230,13,5
230,9,-1
231,14,0
231,13,5
231,9,9
231,12,-1
232,11,-1
232,13,7
232,14,5
232,9,4
233,9,8
233,11,9
233,12,-1
233,13,5
234,11,5
234,10,2
234,12,0
234,13,7
236,13,-1
236,14,-1
236,11,-1
236,10,-1
238,10,3
238,11,4
238,9,5
238,14,0
239,14,0
239,13,10
239,11,5
239,12,6
240,12,-1
240,9,-1
240,11,8
240,10,6
241,13,10
241,14,4
241,12,6
241,11,10
249,11,10
249,9,5
249,13,5
249,10,-1
250,13,7
250,10,4
250,14,0
250,11,9
251,10,6
251,12,1
251,14,0
251,13,6
252,12,-1
252,10,-1
252,11,6
252,13,-1
253,10,8
253,11,6
253,13,-1
253,9,6
261,10,-1
261,9,8
261,12,3
261,13,-1
262,9,-1
262,14,1
262,12,5
262,13,-1
263,13,-1
263,9,-1
263,12,0
263,11,10
264,9,7
264,13,10
264,10,10
264,14,-1
278,9,5
278,10,8
278,12,0
278,11,8
279,11,-1
279,13,-1
279,9,-1
279,14,2
280,9,7
280,14,-1
280,13,7
280,10,-1
281,14,1
281,13,7
281,10,1
281,11,10
283,11,-1
283,13,-1
283,10,9
283,14,0
284,12,5
284,11,-1
284,13,8
284,10,2
285,11,9
285,10,8
285,13,8
285,14,-1
286,9,8
286,12,5
286,14,0
286,10,3
287,10,3
287,14,1
287,11,-1
287,12,-1
288,14,3
288,13,-1
288,10,7
288,11,8
289,14,0
289,12,-1
289,9,8
289,11,8
290,14,-1
290,13,-1
290,9,-1
290,11,-1
291,13,7
291,14,2
291,10,-1
291,9,5
292,13,10
292,11,10
292,10,2
292,9,-1
293,11,10
293,14,0
293,13,4
293,12,5
294,9,2
294,11,8
294,14,0
294,10,7
295,9,-1
295,11,8
295,12,1
295,10,-1
296,11,8
296,12,-1
296,14,2
296,10,-1
297,10,-1
297,14,1
297,13,-1
297,9,-1
300,9,-1
300,10,-1
300,13,-1
300,11,8
301,10,-1
301,9,-1
301,14,0
301,12,-1
302,9,10
302,13,6
302,11,6
302,10,7
304,14,-1
304,9,-1
304,10,-1
304,12,-1
305,13,-1
305,14,0
305,9,-1
305,10,-1
319,14,7
319,12,7
319,11,-1
319,10,-1
320,13,8
320,14,0
320,12,3
320,10,7
321,11,-1
321,13,10
321,14,0
321,12,0
322,9,-1
322,14,2
322,12,-1
322,11,10
323,9,4
323,12,9
323,14,2
323,10,8
325,12,-1
325,9,-1
325,14,0
325,13,-1
327,14,-1
327,10,7
327,12,4
327,9,-1
331,13,-1
331,14,0
331,10,-1
331,12,0
332,14,0
332,12,0
332,9,-1
332,13,-1
334,14,0
334,9,5
334,12,5
334,13,-1
335,12,5
335,9,10
335,14,0
335,13,-1
336,9,10
336,14,-1
336,13,10
336,10,-1
337,12,4
337,9,8
337,14,5
337,10,7
338,14,0
338,9,-1
338,13,9
338,10,5
340,14,-1
340,12,1
340,9,5
340,11,-1
346,13,-1
346,10,7
346,12,-1
346,11,-1
347,13,-1
347,12,4
347,14,-1
347,9,-1
350,12,0
350,9,-1
350,11,10
350,14,0
357,10,-1
357,14,-1
357,12,-1
357,13,-1
365,12,2
365,11,8
365,14,1
365,13,7
366,13,6
366,12,-1
366,14,0
366,9,4
367,14,1
367,11,7
367,13,7
367,12,4
371,14,0
371,11,-1
371,12,-1
371,9,5
374,9,2
374,12,1
374,10,3
374,11,9
375,13,8
375,9,8
375,14,0
375,10,8
376,13,10
376,10,4
376,11,-1
376,14,2
383,9,5
383,10,4
383,11,10
383,14,-1
384,12,-1
384,9,-1
384,13,6
384,14,0
385,14,3
385,10,3
385,13,8
385,9,-1
386,14,5
386,11,9
386,13,10
386,12,-1
387,12,0
387,14,0
387,10,7
387,9,4
388,9,10
388,13,10
388,11,-1
388,14,0
393,13,8
393,10,10
393,11,9
393,14,-1
395,10,3
395,13,-1
395,12,7
395,14,1
397,11,5
397,13,10
397,9,-1
397,14,-1
416,11,6
416,12,3
416,14,0
416,9,-1
417,14,-1
417,10,-1
417,9,-1
417,11,7
418,10,-1
418,13,6
418,12,-1
418,9,-1
419,11,-1
419,13,7
419,10,7
419,14,0
420,13,6
420,12,0
420,9,5
420,11,-1
422,14,0
422,11,7
422,9,3
422,13,0
423,9,7
423,14,5
423,13,8
423,11,10
424,11,9
424,10,7
424,12,0
424,13,10
428,12,-1
428,10,0
428,9,3
428,14,0
429,13,-1
429,9,-1
429,10,9
429,11,-1
430,12,-1
430,9,7
430,13,8
430,14,0
434,9,-1
434,13,8
434,12,5
434,14,-1
435,10,7
435,13,2
435,11,-1
435,9,4
436,9,8
436,11,-1
436,10,4
436,12,-1
438,10,8
438,12,-1
438,14,0
438,11,10
439,12,6
439,9,8
439,14,0
439,11,-1
440,12,-1
440,10,8
440,11,7
440,14,0
442,11,-1
442,12,0
442,13,-1
442,14,-1
449,11,6
449,12,1
449,9,-1
449,14,0
450,10,5
450,9,-1
450,11,10
450,13,-1
451,11,10
451,9,6
451,12,-1
451,13,5
452,14,3
452,11,-1
452,13,7
452,12,-1
453,13,3
453,9,10
453,11,10
453,10,4
454,10,4
454,9,6
454,12,4
454,14,0
464,9,5
464,11,-1
464,10,-1
464,13,9
465,9,-1
465,14,0
465,11,5
465,12,3
468,10,-1
468,13,7
468,11,-1
468,14,0
469,12,0
469,9,8
469,14,0
469,11,8
471,12,0
471,11,-1
471,9,-1
471,14,0
483,12,0
483,13,7
483,9,-1
483,10,7
484,13,8
484,11,8
484,14,5
484,12,1
485,9,5
485,13,8
485,11,8
485,12,3
486,10,8
486,14,0
486,12,-1
486,13,7
487,13,4
487,14,0
487,12,-1
487,11,10
489,9,9
489,11,9
489,10,-1
489,13,5
490,13,5
490,12,1
490,14,0
490,11,10
491,11,-1
491,10,10
491,13,6
491,14,0
492,11,10
492,10,-1
492,12,0
492,9,10
493,14,-1
493,9,6
493,11,8
493,13,6
500,14,-1
500,13,10
500,12,2
500,11,10
501,12,3
501,13,8
501,9,-1
501,10,8
502,12,1
502,13,6
502,14,-1
502,11,10
503,9,9
503,11,10
503,10,9
503,13,10
504,10,7
504,12,-1
504,13,7
504,11,7
505,10,-1
505,12,0
505,13,7
505,14,5
506,9,-1
506,12,0
506,11,-1
506,14,0
507,14,-1
507,9,10
507,12,2
507,10,-1
520,11,-1
520,14,0
520,9,-1
520,10,10
521,12,-1
521,11,9
521,14,1
521,9,-1
522,13,8
522,12,-1
522,11,8
522,9,7
523,10,7
523,11,-1
523,9,7
523,12,-1
524,11,6
524,14,5
524,9,7
524,10,-1
525,12,0
525,14,1
525,10,1
525,9,-1
526,9,-1
526,12,0
526,13,9
526,10,7
527,12,-1
527,14,5
527,11,9
527,13,9
528,11,10
528,9,-1
528,14,0
528,12,0
529,10,8
529,13,8
529,11,-1
529,9,-1
532,13,2
532,9,5
532,11,-1
532,10,5
533,10,0
533,11,10
533,12,0
533,14,0
550,9,-1
550,13,10
550,11,6
550,12,5
551,12,-1
551,10,-1
551,13,2
551,14,2
554,12,-1
554,10,5
554,14,2
554,11,9
555,9,10
555,12,0
555,10,10
555,13,-1
556,10,8
556,11,8
556,13,8
556,14,4
560,13,5
560,12,0
560,11,7
560,10,8
561,10,5
561,13,5
561,11,-1
561,12,0
563,10,-1
563,13,5
563,14,0
563,9,-1
568,13,7
568,12,2
568,10,0
568,11,4
569,13,7
569,12,3
569,10,-1
569,11,-1
572,9,1
572,11,8
572,13,5
572,14,0
575,12,-1
575,9,-1
575,11,-1
575,13,7
577,9,-1
577,13,8
577,12,5
577,11,-1
578,10,5
578,12,3
578,9,4
578,13,8
583,11,-1
583,12,0
583,14,0
583,10,5
584,9,-1
584,12,-1
584,10,8
584,14,0
585,11,-1
585,13,-1
585,9,7
585,10,2
586,14,0
586,9,-1
586,12,5
586,10,5
588,10,-1
588,11,10
588,13,8
588,9,-1
589,9,5
589,11,-1
589,14,-1
589,12,0
590,11,8
590,9,5
590,10,4
590,14,1
595,14,0
595,12,2
595,10,0
595,9,3
597,12,3
597,10,-1
597,13,8
597,9,5
598,11,8
598,9,6
598,10,5
598,14,0
599,10,3
599,9,-1
599,14,0
599,13,6
601,13,-1
601,10,2
601,14,1
601,12,7
602,10,-1
602,14,10
602,12,-1
602,11,10
610,10,8
610,14,0
610,12,0
610,13,8
613,14,4
613,12,-1
613,9,-1
613,11,-1
617,10,5
617,9,-1
617,12,7
617,11,5
618,12,3
618,11,7
618,13,6
618,14,2
619,12,7
619,10,6
619,11,9
619,9,3
620,14,1
620,12,0
620,9,8
620,11,7
625,13,8
625,14,0
625,11,8
625,9,5
626,11,-1
626,9,-1
626,14,0
626,10,5
627,9,-1
627,10,10
627,12,0
627,11,10
631,11,7
631,9,5
631,12,0
631,10,-1
632,14,3
632,11,9
632,13,5
632,9,9
633,11,9
633,9,2
633,12,1
633,10,8
634,11,-1
634,14,5
634,10,8
634,12,1
635,13,-1
635,9,-1
635,10,-1
635,14,1
637,9,10
637,11,9
637,14,4
637,13,-1
638,13,10
638,11,10
638,9,5
638,10,0
642,11,10
642,13,8
642,12,0
642,10,-1
644,9,-1
644,11,1
644,14,3
644,10,6
645,13,-1
645,12,8
645,11,9
645,14,-1
646,13,9
646,9,0
646,12,4
646,14,5
650,9,4
650,13,5
650,10,5
650,12,8
651,11,7
651,13,4
651,12,4
651,9,9
653,13,-1
653,12,7
653,14,0
653,9,5
654,13,7
654,10,1
654,9,5
654,14,1
657,13,-1
657,12,5
657,11,7
657,14,1
659,14,1
659,10,5
659,11,-1
659,13,-1
661,12,4
661,11,-1
661,13,-1
661,9,9
